name,gender,count
Mary,F,7065
Anna,F,2604
Emma,F,2003
Elizabeth,F,1939
Minnie,F,1746
Margaret,F,1578
Ida,F,1472
Alice,F,1414
Bertha,F,1320
Sarah,F,1288
Annie,F,1258
Clara,F,1226
Ella,F,1156
Florence,F,1063
Cora,F,1045
Martha,F,1040
Laura,F,1012
Nellie,F,995
Grace,F,982
Carrie,F,949
Maude,F,858
Mabel,F,808
Bessie,F,796
Jennie,F,793
Gertrude,F,787
Julia,F,783
Hattie,F,769
Edith,F,768
Mattie,F,704
Rose,F,700
Catherine,F,688
Lillian,F,672
Ada,F,652
Lillie,F,647
Helen,F,636
William,M,9532
James,M,5927
Charles,M,5348
George,M,5126
Frank,M,3242
Joseph,M,2632
Thomas,M,2534
Henry,M,2444
Robert,M,2415
Edward,M,2364
Harry,M,2152
Walter,M,1755
Arthur,M,1599
Fred,M,1569
Albert,M,1493
Samuel,M,1024
David,M,869
Louis,M,828
Joe,M,731
Charlie,M,730
Clarence,M,730
Richard,M,728
Andrew,M,644
Daniel,M,643
Ernest,M,615
Will,M,588
Jesse,M,569
Oscar,M,544
Lewis,M,517
Peter,M,496
Benjamin,M,490
Frederick,M,483
Willie,M,476
Alfred,M,469
Sam,M,457
Roy,M,440
Herbert,M,424
Jacob,M,404
Tom,M,399
Elmer,M,373
Carl,M,372
Lee,M,361
Howard,M,357
Martin,M,357
Michael,M,354
Bert,M,348
Herman,M,347
Jim,M,345
Francis,M,344
Harvey,M,344
Earl,M,335
Eugene,M,328
Ralph,M,317
Ed,M,310
Claude,M,309
Edwin,M,309
Ben,M,305
Charley,M,305
Paul,M,301
Edgar,M,283
Isaac,M,274
Otto,M,271
Luther,M,260
Lawrence,M,257
Ira,M,249
Patrick,M,248
Guy,M,239
Oliver,M,234
Theodore,M,232
Hugh,M,224
Clyde,M,221
Alexander,M,211
August,M,210
Floyd,M,206
Homer,M,205
Jack,M,204
Leonard,M,200
Horace,M,199
Marion,M,189
Philip,M,186
Allen,M,184
Archie,M,183
Stephen,M,176
Chester,M,168
Willis,M,166
Raymond,M,165
Rufus,M,163
Warren,M,158
Jessie,M,154
Milton,M,149
Alex,M,147
Leo,M,147
Julius,M,143
Ray,M,142
Sidney,M,142
Bernard,M,140
Dan,M,140
Jerry,M,136
Calvin,M,134
Perry,M,134
Dave,M,131
Anthony,M,130
Eddie,M,129
Amos,M,128
Dennis,M,128
Clifford,M,127
Leroy,M,124
Wesley,M,123
Alonzo,M,122
Garfield,M,122
Franklin,M,120
Emil,M,119
Leon,M,118
Nathan,M,114
Harold,M,113
Matthew,M,113
Levi,M,112
Moses,M,111
Everett,M,110
Lester,M,109
Winfield,M,108
Adam,M,104
Lloyd,M,104
Mack,M,104
Fredrick,M,103
Jay,M,103
Jess,M,103
Melvin,M,103
Noah,M,103
Aaron,M,102
Alvin,M,102
Norman,M,102
Gilbert,M,101
Elijah,M,100
Victor,M,100
Gus,M,99
Nelson,M,99
Jasper,M,98
Silas,M,98
Jake,M,96
Christopher,M,95
Mike,M,95
Percy,M,94
Adolph,M,93
Maurice,M,93
Cornelius,M,92
Felix,M,92
Reuben,M,92
Wallace,M,91
Claud,M,90
Roscoe,M,90
Sylvester,M,89
Earnest,M,88
Hiram,M,88
Otis,M,88
Simon,M,88
Willard,M,88
Irvin,M,86
Mark,M,85
Jose,M,84
Wilbur,M,82
Abraham,M,81
Virgil,M,81
Clinton,M,79
Elbert,M,79
Leslie,M,79
Marshall,M,78
Owen,M,78
Wiley,M,78
Anton,M,77
Morris,M,77
